alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-001,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,1,禮記·《奔喪》 1,奔喪之禮：始聞親喪，以哭答使者，盡哀；問故，又哭盡哀。遂行，日行百里，不以夜行。唯父母之喪，見星而行，見星而舍。若未得行，則成服而後行。過國至竟，哭盡哀而止。哭辟市朝。望其國竟哭。,禮記·《奔喪》 1,"According to the rules for hurrying to attend the mourning rites, when one first heard that the mourning rites for a relative were going on, he wailed as he answered the messenger, and gave full vent to his sorrow. Having asked all the particulars, he wailed again, with a similar burst of grief, and immediately arranged to go (to the place). He went 100 li a day, not travelling in the night. Only when the rites were those for a father or a mother did he travel while he could yet see the stars, and rested when he (again) saw them. If it was impossible for him to go (at once), he assumed the mourning dress, and then went (as soon as he could). When he had passed through be state (where he was), and reached its frontier, he stopped and wailed, giving full vent to his sorrow. He avoided wailing in the market-place and when near the court. He looked towards the frontier of his own state when he wailed.","According to the rules for hurrying to attend the mourning rites, when one first heard that the mourning rites for a relative were going on, he wailed as he answered the messenger, and gave full vent to his sorrow. Having asked all the particulars, he wailed again, with a similar burst of grief, and immediately arranged to go (to the place). He went 100 li a day, not travelling in the night. Only when the rites were those for a father or a mother did he travel while he could yet see the stars, and rested when he (again) saw them. If it was impossible for him to go (at once), he assumed the mourning dress, and then went (as soon as he could). When he had passed through be state (where he was), and reached its frontier, he stopped and wailed, giving full vent to his sorrow. He avoided wailing in the market-place and when near the court. He looked towards the frontier of his own state when he wailed.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-002,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,2,禮記·《奔喪》 2,至於家，入門左，升自西階，殯東，西面坐，哭盡哀，括髮袒，降堂東即位，西鄉哭，成踴，襲絰于序東，絞帶。反位，拜賓成踴，送賓，反位；有賓後至者，則拜之，成踴、送賓皆如初。眾主人兄弟皆出門，出門哭止；闔門，相者告就次。,禮記·《奔喪》 2,"When he came to the house, he entered the gate at the left side of it, (passed through the court), and ascended to the hall by the steps on the west. He knelt on the east of the coffin, with his face to the west, and wailed, giving full vent to his grief. He (then) tied up his hair in a knot, bared his arms, and went down from the hall, proceeding to his place on the east, where he wailed towards the west. Having completed the leaping, he covered his arms and put on his sash of sackcloth in the corridor on the east; and after tucking up the ends of his sash, he returned to his place. He bowed to the visitors, leaping with them, and escorted them (to the gate), returning (afterwards) to his place. When other visitors arrived, he bowed to them, leaped with them, and escorted them - all in the same way. (After this), all the principal mourners, with their cousins, went out at the gate, stopping there while they wailed. The gate was then closed, and the director told them to go to the mourning shed.","When he came to the house, he entered the gate at the left side of it, (passed through the court), and ascended to the hall by the steps on the west. He knelt on the east of the coffin, with his face to the west, and wailed, giving full vent to his grief. He (then) tied up his hair in a knot, bared his arms, and went down from the hall, proceeding to his place on the east, where he wailed towards the west. Having completed the leaping, he covered his arms and put on his sash of sackcloth in the corridor on the east; and after tucking up the ends of his sash, he returned to his place. He bowed to the visitors, leaping with them, and escorted them (to the gate), returning (afterwards) to his place. When other visitors arrived, he bowed to them, leaped with them, and escorted them - all in the same way. (After this), all the principal mourners, with their cousins, went out at the gate, stopping there while they wailed. The gate was then closed, and the director told them to go to the mourning shed.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-003,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,3,禮記·《奔喪》 3,於又哭，括髮袒成踴；於三哭，猶括髮袒成踴。三日，成服，拜賓、送賓皆如初。,禮記·《奔喪》 3,"At the next wailing, the day after, they tied up their hair, bared their arms, and went through the leaping. At the third wailing next day, they again tied up their hair, bared their arms, and went through the leaping. On these three days, the finishing the mourning dress, bowing to and escorting the visitors, took place as in the first case.","At the next wailing, the day after, they tied up their hair, bared their arms, and went through the leaping. At the third wailing next day, they again tied up their hair, bared their arms, and went through the leaping. On these three days, the finishing the mourning dress, bowing to and escorting the visitors, took place as in the first case.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-004,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,4,禮記·《奔喪》 4,奔喪者非主人，則主人為之拜賓送賓。,禮記·《奔喪》 4,"If he who has hurried to be present at the rites were not the presiding mourner on the occasion, then that presiding mourner, instead of him, bowed to the visitors and escorted them.","If he who has hurried to be present at the rites were not the presiding mourner on the occasion, then that presiding mourner, instead of him, bowed to the visitors and escorted them.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-005,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,5,禮記·《奔喪》 5,奔喪者自齊衰以下，入門左中庭北面哭盡哀，免麻于序東，即位袒，與主人哭成踴。於又哭、三哭皆免袒，有賓則主人拜賓、送賓。丈夫婦人之待之也，皆如朝夕哭，位無變也。,禮記·《奔喪》 5,"When one hurried to the rites, even where they were less than those for a mother or father, which required the wearing of sackcloth, with even edge or frayed, he entered the gate at the left side of it, and stood in the middle of the court-yard with his face to the north, wailing and giving full vent to his sorrow. He put on the cincture for the head and the sackcloth girdle in the corridor on the east, and repaired to his place, where he bared his arms. Then he wailed along with the presiding mourner, and went through the leaping. For the wailing on the second day and the third, they wore the cincture and bared the arms. If there were visitors, the presiding mourner bowed to them on their arrival, and escorted them. The husbands and wives (of the family) waited for him at the wailing-places for every morning and evening, without making any change.","When one hurried to the rites, even where they were less than those for a mother or father, which required the wearing of sackcloth, with even edge or frayed, he entered the gate at the left side of it, and stood in the middle of the court-yard with his face to the north, wailing and giving full vent to his sorrow. He put on the cincture for the head and the sackcloth girdle in the corridor on the east, and repaired to his place, where he bared his arms. Then he wailed along with the presiding mourner, and went through the leaping. For the wailing on the second day and the third, they wore the cincture and bared the arms. If there were visitors, the presiding mourner bowed to them on their arrival, and escorted them. The husbands and wives (of the family) waited for him at the wailing-places for every morning and evening, without making any change.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-006,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,6,禮記·《奔喪》 6,奔母之喪，西面哭盡哀，括髮袒，降堂東即位，西鄉哭，成踴，襲免絰于序東，拜賓、送賓，皆如奔父之禮，於又哭不括髮。,禮記·《奔喪》 6,"When one hurries to the mourning rites for a mother, he wails with his face to the west, giving full vent to his sorrow. He then ties up his hair, bares his arms, descends from the hall, and goes to his station on the east, where, with his face to the west, he wails and goes through the leaping. After that, he covers his arms and puts on the cincture and sash in the corridor on the east. He bows to the visitors, and escorts them (to the gate) in the same way as if he had hurried to the rites for his father. At the wailing on the day after, he does not tie up his hair.","When one hurries to the mourning rites for a mother, he wails with his face to the west, giving full vent to his sorrow. He then ties up his hair, bares his arms, descends from the hall, and goes to his station on the east, where, with his face to the west, he wails and goes through the leaping. After that, he covers his arms and puts on the cincture and sash in the corridor on the east. He bows to the visitors, and escorts them (to the gate) in the same way as if he had hurried to the rites for his father. At the wailing on the day after, he does not tie up his hair.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-007,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,7,禮記·《奔喪》 7,婦人奔喪，升自東階，殯東，西面坐，哭盡哀；東髽，即位，與主人拾踴。,禮記·《奔喪》 7,"When a wife hurried to the mourning rites, she went up to the hall by the (side) steps on the east, and knelt on the east of the coffin with, her face to the west. There she wailed, giving full vent to her grief. Having put on the lower cincture on the east, she went to the station (for wailing), and there leaped alternately with the presiding mourner.","When a wife hurried to the mourning rites, she went up to the hall by the (side) steps on the east, and knelt on the east of the coffin with, her face to the west. There she wailed, giving full vent to her grief. Having put on the lower cincture on the east, she went to the station (for wailing), and there leaped alternately with the presiding mourner.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-008,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,8,禮記·《奔喪》 8,奔喪者不及殯，先之墓，北面坐，哭盡哀。主人之待之也，即位於墓左，婦人墓右，成踴盡哀括髮，東即主人位，絰絞帶，哭成踴，拜賓，反位，成踴，相者告事畢。遂冠歸，入門左，北面哭盡哀，括髮袒成踴，東即位，拜賓成踴。賓出，主人拜送；有賓後至者則拜之成踴；送賓如初。眾主人兄弟皆出門，出門哭止，相者告就次。於又哭，括髮成踴；於三哭，猶括髮成踴。三日成服，於五哭，相者告事畢。,禮記·《奔喪》 8,"When one, hurrying to the mourning rites, did not arrive while the coffin with the body was still in the house, he first went to the grave; and there kneeling with his face to the north, he wailed, giving full vent to his sorrow. The principal mourners have been waiting for him (at the grave), and have taken their stations - the men on the left of it, and the wives on the right. Having gone through the leaping, and given full expression to his sorrow, he tied up his hair, and went to the station of the principal mourners on the east. In his headband of sackcloth, and sash with the ends tucked up, he wailed and went through the leaping. He then bowed to the visitors, and returned to his station, going (again) through the leaping, after which the director announced that the business was over. He then put on the cap, and returned to the house. There he entered at the left side of the door, and, with his face to the north, wailed and gave full vent to his sorrow. He then tied up his hair, bared his arms, and went through the leaping. Going to his station on the east, he bowed to the visitors, and went through the leaping. When the visitors went out, the presiding mourner bowed to them, and escorted them. When other visitors afterwards arrived, he bowed to them, went through the leaping, and escorted them in the same way. All the principal mourners and their cousins went out at the gate, wailed there and stopped, when the directors instructed them to go to the shed. At the wailing next day, he bound up his hair and went through the leaping. At the third wailing, he did the same. On the third day he completed his mourning dress (as was required). After the fifth wailing, the director announced that the business was over.","When one, hurrying to the mourning rites, did not arrive while the coffin with the body was still in the house, he first went to the grave; and there kneeling with his face to the north, he wailed, giving full vent to his sorrow. The principal mourners have been waiting for him (at the grave), and have taken their stations - the men on the left of it, and the wives on the right. Having gone through the leaping, and given full expression to his sorrow, he tied up his hair, and went to the station of the principal mourners on the east. In his headband of sackcloth, and sash with the ends tucked up, he wailed and went through the leaping. He then bowed to the visitors, and returned to his station, going (again) through the leaping, after which the director announced that the business was over. He then put on the cap, and returned to the house. There he entered at the left side of the door, and, with his face to the north, wailed and gave full vent to his sorrow. He then tied up his hair, bared his arms, and went through the leaping. Going to his station on the east, he bowed to the visitors, and went through the leaping. When the visitors went out, the presiding mourner bowed to them, and escorted them. When other visitors afterwards arrived, he bowed to them, went through the leaping, and escorted them in the same way. All the principal mourners and their cousins went out at the gate, wailed there and stopped, when the directors instructed them to go to the shed. At the wailing next day, he bound up his hair and went through the leaping. At the third wailing, he did the same. On the third day he completed his mourning dress (as was required). After the fifth wailing, the director announced that the business was over.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-009,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,9,禮記·《奔喪》 9,為母所以異於父者，壹括髮，其餘免以終事，他如奔父之禮。,禮記·《奔喪》 9,"Wherein the usages at the rites for a mother differed from those at the rites for a father, was that there was but one tying up of the hair. After that the cincture was worn to the end of the business. In other respects the usages were the same as at the rites for a father.","Wherein the usages at the rites for a mother differed from those at the rites for a father, was that there was but one tying up of the hair. After that the cincture was worn to the end of the business. In other respects the usages were the same as at the rites for a father.",[]
liji-034-rules-on-hurrying-to-the-mourning-rites__aligned-010,liji,liji-034-rules-on-hurrying-to-the-mourning-rites,chapter,block,block,False,,1,1,exact_or_near_exact,0.96,10,禮記·《奔喪》 10,齊衰以下不及殯：先之墓，西面哭盡哀，免麻于東方，即位，與主人哭成踴，襲。有賓則主人拜賓、送賓；賓有後至者，拜之如初。相者告事畢。遂冠歸，入門左，北面哭盡哀，免袒成踴，東即位，拜賓成踴，賓出，主人拜送。於又哭，免袒成踴；於三哭，猶免袒成踴。三日成服，於五哭，相者告事畢。,禮記·《奔喪》 10,"At the rites for other relations, after those for the mother or father, the mourner who did not arrive while the coffin was in the house, first went to the grave, and there wailed with his face to the west, giving full vent to his sorrow. He then put on the cincture and hempen sash, and went to his station on the east, where he wailed with the presiding mourner, and went through the leaping. After this he covered his arms; and if there were visitors, the presiding mourner bowed to them and escorted them away. If any other visitors afterwards came, he bowed to them, as in the former case, and the director announced that the business was over. Immediately after he put on the cap, and returned to the house. Entering at the left side of the door, he wailed with his face to the north, giving full vent to his sorrow. He then put on the cincture, bared his arms, and went through the leaping. Going then to the station on the east, he bowed to the visitors, and went through the leaping again. When the visitors went out, the presiding mourner bowed to them and escorted them. At the wailing next day, he wore the cincture, bared his arms, and went through the leaping. At the third wailing he did the same. On the third day, he put on his mourning-garb; and at the fifth wailing, the director announced that the business was over.","At the rites for other relations, after those for the mother or father, the mourner who did not arrive while the coffin was in the house, first went to the grave, and there wailed with his face to the west, giving full vent to his sorrow. He then put on the cincture and hempen sash, and went to his station on the east, where he wailed with the presiding mourner, and went through the leaping. After this he covered his arms; and if there were visitors, the presiding mourner bowed to them and escorted them away. If any other visitors afterwards came, he bowed to them, as in the former case, and the director announced that the business was over. Immediately after he put on the cap, and returned to the house. Entering at the left side of the door, he wailed with his face to the north, giving full vent to his sorrow. He then put on the cincture, bared his arms, and went through the leaping. Going then to the station on the east, he bowed to the visitors, and went through the leaping again. When the visitors went out, the presiding mourner bowed to them and escorted them. At the wailing next day, he wore the cincture, bared his arms, and went through the leaping. At the third wailing he did the same. On the third day, he put on his mourning-garb; and at the fifth wailing, the director announced that the business was over.",[]
