論語 9.1	子罕言利與命與仁。
論語 9.2	達巷黨人曰：「大哉孔子！博學而無所成名。」子聞之，謂門弟子曰：「吾何執？執御乎？執射乎？吾執御矣！」
論語 9.3	子曰：「麻冕，禮也；今也純，儉，吾從眾。拜下，禮也；今拜乎上，泰也。雖違眾，吾從下。」
論語 9.4	子絕四：「毋意，毋必，毋固，毋我。」
論語 9.5	子畏於匡。曰：「文王既沒，文不在茲乎？天之將喪斯文也，後死者，不得與於斯文也。天之未喪斯文也，匡人其如予何？」
論語 9.6	大宰問於子貢曰：「夫子聖者與？何其多能也？」子貢曰：「固天縱之將聖，又多能也。」子聞之曰：「大宰知我乎！吾少也賤，故多能鄙事。君子多乎哉？不多也！」
論語 9.7	牢曰：「子云：『吾不試，故藝。』」
論語 9.8	子曰：「吾有知乎哉？無知也。有鄙夫問於我，空空如也，我扣其兩端而竭焉。」
論語 9.9	子曰：「鳳鳥不至，河不出圖，吾已矣夫！」
論語 9.10	子見齊衰者，冕衣裳者，與瞽者，見之，雖少必作，過之必趨。
論語 9.11	顏淵喟然歎曰：「仰之彌高，鑽之彌堅，瞻之在前，忽焉在後！夫子循循然善誘人：博我以文，約我以禮。欲罷不能，既竭吾才，如有所立卓爾，雖欲從之，末由也已！」
論語 9.12	子疾病，子路使門人爲臣。病間，曰：「久矣哉，由之行詐也！無臣而爲有臣，吾誰欺？欺天乎？且予與其死於臣之手也，無寧死於二三子之手乎！且予縱不得大葬，予死於道路乎？」
論語 9.13	子貢曰：「有美玉於斯，韞櫝而藏諸？求善賈而沽諸？」子曰：「沽之哉！沽之哉！我待賈者也！」
論語 9.14	子欲居九夷。或曰：「陋，如之何？」子曰：「君子居之，何陋之有？」
論語 9.15	子曰：「吾自衞反魯，然後樂正，雅頌各得其所。」
論語 9.16	子曰：「出則事公卿，入則事父兄，喪事不敢不勉，不爲酒困，何有於我哉？」
論語 9.17	子在川上曰：「逝者如斯夫！不舍晝夜。」
論語 9.18	子曰：「吾未見好德如好色者也。」
論語 9.19	子曰：「譬如爲山，未成一簣，止，吾止也！譬如平地，雖覆一簣，進，吾往也！」
論語 9.20	子曰：「語之而不惰者，其回也與！」
論語 9.21	子謂顏淵，曰：「惜乎！吾見其進也，未見其止也！」
論語 9.22	子曰：「苗而不秀者，有矣夫！秀而不實者，有矣夫！」
論語 9.23	子曰：「後生可畏，焉知來者之不如今也？四十、五十而無聞焉，斯亦不足畏也已！」
論語 9.24	子曰：「法語之言，能無從乎？改之爲貴。巽與之言，能無說乎？繹之爲貴。說而不繹，從而不改，吾末如之何也已矣！」
論語 9.25	子曰：「主忠信，毋友不如己者，過則勿憚改。」
論語 9.26	子曰：「三軍可奪帥也，匹夫不可奪志也。」
論語 9.27	子曰：「衣敝縕袍，與衣狐貉者立，而不恥者，其由也與！『不忮不求，何用不臧？』子路終身誦之。子曰：「是道也，何足以臧？」
論語 9.28	子曰：「歲寒，然後知松柏之後凋也。」
論語 9.29	子曰：「知者不惑，仁者不憂，勇者不懼。」
論語 9.30	子曰：「可與共學，未可與適道；可與適道，未可與立；可與立，未可與權。」
論語 9.31	「唐棣之華，偏其反而；豈不爾思？室是遠而」。子曰：「未之思也，夫何遠之有？」
